net,length_um
clknet_0_sys_clk,312.9µm
_1018_,152.96µm
net285,135.82µm
sys_clk,135.61µm
net299,128.715µm
net202,127.89µm
net250,123.7µm
net198,120.62µm
net293,117.64µm
clknet_4_15_0_sys_clk,116.78µm
net254,116.64µm
net192,115.295µm
net267,112.2µm
clknet_4_10_0_sys_clk,112.16µm
net259,111.6µm
net245,110.22µm
net265,105.03µm
net191,103.35µm
clknet_4_7_0_sys_clk,102.74µm
_0581_,101.46µm
net237,100.42µm
net160,99.82µm
net199,99.82µm
net99,99.04µm
clknet_4_2_0_sys_clk,98.14µm
net177,97.7µm
clknet_4_5_0_sys_clk,94.12µm
net123,90.36µm
net114,89.8µm
clknet_4_0_0_sys_clk,89.56µm
clknet_4_1_0_sys_clk,88.7µm
net301,88.66µm
net200,88.355µm
net102,87.86µm
net286,87.83µm
net203,84.425µm
net111,82.93µm
net294,82.84µm
clknet_4_4_0_sys_clk,81.69µm
net284,81.1µm
net171,79.91µm
_0985_,79.44µm
net98,79.32µm
net176,79.305µm
net278,78.96µm
clknet_4_13_0_sys_clk,78.52µm
net298,77.82µm
net173,76.925µm
net268,76.48µm
_0583_,75.98µm
net71,75.06µm
net252,74.04µm
net274,73.36µm
net69,72.72µm
clknet_4_14_0_sys_clk,72µm
net49,71.74µm
net184,71.1µm
_0582_,70.54µm
clknet_4_6_0_sys_clk,70.12µm
net68,69.66µm
net204,69.335µm
net214,69.1µm
net255,68.7µm
net300,68.54µm
net70,68.2µm
net246,67.5µm
net208,67.4µm
_0649_,67.2µm
net292,66.4µm
net197,66.1µm
_1027_,65.4µm
_1010_,65.38µm
net262,65.1µm
net25,64.92µm
clknet_4_9_0_sys_clk,63.92µm
net155,63.72µm
net120,63.16µm
net279,62.94µm
net207,61.965µm
_0981_,61.7µm
lf_inst.integrator\[26\],61.62µm
_0525_,61.42µm
net24,61.24µm
clknet_4_3_0_sys_clk,60.88µm
net22,60.86µm
net297,60.44µm
net239,60.1µm
net183,59.49µm
net261,59.32µm
net151,58.92µm
net108,58.9µm
net29,58.68µm
net266,58.36µm
net181,58.185µm
net196,58.12µm
net190,57.94µm
net158,57.6µm
net189,57.58µm
net272,57.4µm
net165,56.62µm
net187,56.485µm
net277,56.46µm
net113,56.4µm
net193,55.83µm
net118,55.8µm
clknet_4_11_0_sys_clk,55.64µm
_0662_,55.46µm
clknet_4_8_0_sys_clk,54.8µm
_0608_,54.6µm
net106,54.48µm
_0208_,54.05µm
net257,53.78µm
net78,53.4µm
net65,52.98µm
net231,52.92µm
_0848_,52.9µm
_0924_,52.785µm
_0922_,52.71µm
net258,52.22µm
net115,52.06µm
net291,51.82µm
net109,51.54µm
net243,51.4µm
net269,51.28µm
net159,51.255µm
_1034_,51.24µm
net251,51.23µm
_0472_,50.98µm
net121,50.74µm
net276,50.58µm
net20,50.38µm
_0938_,50.36µm
net101,50.36µm
net103,49.8µm
_0203_,49.76µm
_0966_,49.53µm
net240,49.52µm
net36,48.78µm
_0964_,48.56µm
net228,48.54µm
net148,48.48µm
net238,47.72µm
net282,47.49µm
_0862_,47.19µm
div_inst.counter\[23\],46.79µm
net232,46.7µm
net185,46.635µm
_0880_,46.52µm
net153,46.39µm
net139,46.32µm
_0933_,46.22µm
_0397_,46.08µm
net295,45.82µm
net296,45.785µm
net220,45.74µm
net37,45.56µm
net221,45.4µm
net287,45.3µm
net235,45.22µm
_0928_,44.9µm
net28,44.9µm
net19,44.8µm
pfd_inst.state\[0\],44.78µm
dynamic_ki\[2\],44.6µm
net21,44.44µm
net247,44.4µm
_0942_,44.36µm
net256,44.34µm
net105,44.16µm
net241,43.98µm
lf_inst.integrator\[25\],43.94µm
_0935_,43.77µm
_0377_,43.285µm
net30,43.24µm
div_inst.counter\[19\],42.865µm
net154,42.68µm
_0768_,42.64µm
net74,42.58µm
_0266_,42.46µm
net263,42.32µm
net55,41.8µm
net23,41.74µm
net136,41.68µm
net97,41.64µm
net174,41.575µm
div_inst.counter\[22\],41.43µm
net14,41.36µm
net227,40.92µm
net215,40.78µm
_0403_,40.74µm
dynamic_kp\[2\],40.46µm
net152,40.24µm
net209,39.8µm
_0161_,39.58µm
net44,39.46µm
net312,39.12µm
net288,38.92µm
net218,38.8µm
net222,38.34µm
net166,38.28µm
_0171_,38.24µm
_0364_,37.86µm
net311,37.77µm
div_inst.counter\[28\],37.34µm
net12,37.22µm
net244,37.18µm
net117,36.88µm
net145,36.82µm
net131,36.8µm
net32,36.18µm
net304,36.15µm
_0157_,36.04µm
_0532_,36.04µm
div_inst.counter\[6\],35.92µm
net119,35.86µm
_0844_,35.82µm
_1039_,35.795µm
net150,35.775µm
net178,35.71µm
net164,35.3µm
net88,35.1µm
net303,35.065µm
net77,35µm
_0702_,34.98µm
net205,34.665µm
net31,34.61µm
_0858_,34.56µm
net206,34.305µm
lf_inst.error_in\[0\],33.98µm
_1037_,33.875µm
_0464_,33.82µm
net86,33.66µm
_0973_,33.42µm
_0321_,33.36µm
net107,33.34µm
pfd_inst.state\[2\],33.29µm
_0535_,33.18µm
net290,33.18µm
net212,33.13µm
_0912_,33.08µm
net138,32.94µm
clknet_4_12_0_sys_clk,32.88µm
net134,32.86µm
_0814_,32.8µm
net305,32.73µm
net82,32.64µm
lf_inst.integrator\[16\],32.6µm
net3,32.54µm
_0231_,32.52µm
lf_inst.zero_error_count\[3\],32.52µm
unlock_timer\[1\],32.44µm
