Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_60_361,VGND,li1,171.8100,174.0800,0.000001
FILLER_60_349,VGND,li1,168.8200,174.0800,0.000001
FILLER_60_337,VGND,li1,163.3000,174.0800,0.000001
FILLER_60_333,VGND,li1,159.3900,174.0800,0.000002
FILLER_60_321,VGND,li1,155.9400,174.0800,0.000002
FILLER_60_309,VGND,li1,150.4200,174.0800,0.000002
FILLER_60_305,VGND,li1,146.5100,174.0800,0.000003
FILLER_60_293,VGND,li1,143.0600,174.0800,0.000003
FILLER_60_281,VGND,li1,137.5400,174.0800,0.000004
FILLER_60_277,VGND,li1,133.6300,174.0800,0.000004
FILLER_60_265,VGND,li1,130.1800,174.0800,0.000007
FILLER_60_253,VGND,li1,124.6600,174.0800,0.000010
FILLER_60_251,VGND,li1,121.2100,174.0800,0.000013
FILLER_60_243,VGND,li1,119.1400,174.0800,0.000014
FILLER_60_231,VGND,li1,114.5400,174.0800,0.000017
FILLER_60_225,VGND,li1,109.4800,174.0800,0.000018
FILLER_60_216,VGND,li1,105.8000,174.0800,0.000016
FILLER_60_210,VGND,li1,102.8100,174.0800,0.000015
FILLER_60_202,VGND,li1,100.2800,174.0800,0.000019
FILLER_60_197,VGND,li1,96.6000,174.0800,0.000024
FILLER_60_189,VGND,li1,93.1500,174.0800,0.000027
FILLER_60_181,VGND,li1,89.7000,174.0800,0.000027
FILLER_60_174,VGND,li1,86.4800,174.0800,0.000027
FILLER_60_169,VGND,li1,83.7200,174.0800,0.000026
FILLER_60_161,VGND,li1,80.2700,174.0800,0.000025
FILLER_60_153,VGND,li1,76.8200,174.0800,0.000023
FILLER_60_146,VGND,li1,73.6000,174.0800,0.000024
FILLER_60_141,VGND,li1,70.8400,174.0800,0.000027
FILLER_60_139,VGND,li1,69.6900,174.0800,0.000030
FILLER_60_133,VGND,li1,68.0800,174.0800,0.000030
FILLER_60_126,VGND,li1,64.1700,174.0800,0.000032
FILLER_60_118,VGND,li1,61.6400,174.0800,0.000032
FILLER_60_113,VGND,li1,57.9600,174.0800,0.000030
FILLER_60_110,VGND,li1,56.5800,174.0800,0.000029
FILLER_60_98,VGND,li1,53.3600,174.0800,0.000027
FILLER_60_93,VGND,li1,48.5300,174.0800,0.000023
FILLER_60_85,VGND,li1,46.4600,174.0800,0.000020
FILLER_60_82,VGND,li1,43.7000,174.0800,0.000015
FILLER_60_70,VGND,li1,40.4800,174.0800,0.000014
FILLER_60_65,VGND,li1,35.6500,174.0800,0.000013
FILLER_60_57,VGND,li1,33.5800,174.0800,0.000012
FILLER_60_53,VGND,li1,30.5900,174.0800,0.000011
FILLER_60_41,VGND,li1,27.1400,174.0800,0.000010
FILLER_60_29,VGND,li1,21.6200,174.0800,0.000007
FILLER_60_27,VGND,li1,18.1700,174.0800,0.000005
FILLER_60_15,VGND,li1,15.1800,174.0800,0.000004
FILLER_60_3,VGND,li1,9.6600,174.0800,0.000004
FILLER_59_361,VGND,li1,171.8100,174.0800,0.000001
FILLER_59_349,VGND,li1,168.8200,174.0800,0.000001
FILLER_59_337,VGND,li1,163.3000,174.0800,0.000001
FILLER_59_335,VGND,li1,159.8500,174.0800,0.000002
FILLER_59_329,VGND,li1,158.2400,174.0800,0.000002
FILLER_59_317,VGND,li1,154.1000,174.0800,0.000002
FILLER_59_305,VGND,li1,148.5800,174.0800,0.000003
FILLER_59_293,VGND,li1,143.0600,174.0800,0.000003
FILLER_59_281,VGND,li1,137.5400,174.0800,0.000004
FILLER_59_277,VGND,li1,133.6300,174.0800,0.000004
FILLER_59_265,VGND,li1,130.1800,174.0800,0.000007
FILLER_59_253,VGND,li1,124.6600,174.0800,0.000010
FILLER_59_241,VGND,li1,119.1400,174.0800,0.000014
FILLER_59_220,VGND,li1,107.6400,174.0800,0.000017
FILLER_59_208,VGND,li1,103.9600,174.0800,0.000015
FILLER_59_182,VGND,li1,90.1600,174.0800,0.000027
FILLER_59_177,VGND,li1,87.1700,174.0800,0.000027
FILLER_59_169,VGND,li1,85.1000,174.0800,0.000027
FILLER_59_167,VGND,li1,82.5700,174.0800,0.000026
FILLER_59_163,VGND,li1,80.7300,174.0800,0.000026
