Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_64_456,VDD,Metal1,262.6400,270.4800,4.999991
FILLER_64_452,VDD,Metal1,261.3400,270.0475,4.999991
FILLER_64_444,VDD,Metal1,258.1065,269.9030,4.999991
FILLER_64_440,VDD,Metal1,253.6800,270.4800,4.999991
FILLER_64_424,VDD,Metal1,249.2480,269.7880,4.999991
FILLER_64_407,VDD,Metal1,234.9200,270.4800,4.999990
FILLER_64_405,VDD,Metal1,234.0800,270.4800,4.999990
FILLER_64_401,VDD,Metal1,232.7800,270.0475,4.999990
FILLER_64_385,VDD,Metal1,227.4080,269.7880,4.999990
FILLER_64_378,VDD,Metal1,218.6800,270.4800,4.999989
FILLER_64_376,VDD,Metal1,217.8400,270.4800,4.999989
FILLER_64_342,VDD,Metal1,207.8755,269.7110,4.999988
FILLER_64_339,VDD,Metal1,196.8400,270.4800,4.999988
FILLER_64_337,VDD,Metal1,196.0000,270.4800,4.999986
FILLER_64_327,VDD,Metal1,191.3400,270.0475,4.999986
FILLER_64_305,VDD,Metal1,177.8000,270.4800,4.999985
FILLER_64_303,VDD,Metal1,176.9600,270.4800,4.999985
FILLER_64_282,VDD,Metal1,164.9200,270.4800,4.999985
FILLER_64_274,VDD,Metal1,162.9065,269.9030,4.999985
FILLER_64_271,VDD,Metal1,158.7600,270.4800,4.999985
FILLER_64_264,VDD,Metal1,154.8400,270.4800,4.999984
FILLER_64_262,VDD,Metal1,154.0000,270.4800,4.999984
FILLER_64_254,VDD,Metal1,151.7065,269.9030,4.999984
FILLER_64_237,VDD,Metal1,139.7200,270.4800,4.999985
FILLER_64_235,VDD,Metal1,138.8800,270.4800,4.999985
FILLER_64_222,VDD,Metal1,131.3200,270.4800,4.999987
FILLER_64_220,VDD,Metal1,130.4800,270.4800,4.999987
FILLER_64_180,VDD,Metal1,109.0200,270.0475,4.999991
FILLER_64_172,VDD,Metal1,105.7865,269.9030,4.999991
FILLER_64_138,VDD,Metal1,93.6355,269.7110,4.999993
FILLER_64_104,VDD,Metal1,74.5955,269.7110,4.999994
FILLER_64_70,VDD,Metal1,55.5555,269.7110,4.999995
FILLER_64_36,VDD,Metal1,36.5155,269.7110,4.999996
FILLER_64_2,VDD,Metal1,17.4755,269.7110,4.999997
FILLER_63_457,VDD,Metal1,262.9200,262.6400,4.999958
FILLER_63_455,VDD,Metal1,262.0800,262.6400,4.999958
FILLER_63_451,VDD,Metal1,260.7800,263.0725,4.999958
FILLER_63_416,VDD,Metal1,241.1800,263.0725,4.999958
FILLER_63_352,VDD,Metal1,222.4750,263.4540,4.999958
FILLER_63_348,VDD,Metal1,202.1600,262.6400,4.999957
FILLER_63_306,VDD,Metal1,178.3600,262.6400,4.999945
FILLER_63_304,VDD,Metal1,177.5200,262.6400,4.999943
FILLER_63_284,VDD,Metal1,166.0400,262.6400,4.999941
FILLER_63_282,VDD,Metal1,165.2000,262.6400,4.999941
FILLER_63_279,VDD,Metal1,163.2400,262.6400,4.999941
FILLER_63_275,VDD,Metal1,162.2200,263.0725,4.999941
FILLER_63_267,VDD,Metal1,158.9865,263.2165,4.999941
FILLER_63_261,VDD,Metal1,153.1600,262.6400,4.999939
FILLER_63_203,VDD,Metal1,120.6800,262.6400,4.999950
FILLER_63_158,VDD,Metal1,95.7600,262.6400,4.999962
FILLER_63_142,VDD,Metal1,91.3280,263.3320,4.999973
FILLER_63_136,VDD,Metal1,84.3800,263.0725,4.999977
FILLER_63_72,VDD,Metal1,65.6750,263.4540,4.999977
FILLER_63_66,VDD,Metal1,45.1800,263.0725,4.999977
FILLER_63_2,VDD,Metal1,26.4750,263.4540,4.999977
FILLER_62_457,VDD,Metal1,262.9200,262.6400,4.999958
FILLER_62_451,VDD,Metal1,260.7800,262.2075,4.999958
FILLER_62_387,VDD,Metal1,242.0750,261.8255,4.999958
FILLER_62_384,VDD,Metal1,222.0400,262.6400,4.999958
FILLER_62_380,VDD,Metal1,221.0200,262.2075,4.999958
FILLER_62_373,VDD,Metal1,216.1600,262.6400,4.999958
FILLER_62_365,VDD,Metal1,213.8665,262.0630,4.999958
FILLER_62_333,VDD,Metal1,202.8355,261.8710,4.999957
FILLER_62_255,VDD,Metal1,150.0800,262.6400,4.999939
FILLER_62_247,VDD,Metal1,147.7865,262.0630,4.999939
FILLER_62_241,VDD,Metal1,143.1800,262.2075,4.999939
FILLER_62_228,VDD,Metal1,134.6800,262.6400,4.999946
FILLER_62_226,VDD,Metal1,133.8400,262.6400,4.999946
FILLER_62_177,VDD,Metal1,106.4000,262.6400,4.999955
FILLER_62_167,VDD,Metal1,100.8000,262.6400,4.999956
FILLER_62_139,VDD,Metal1,89.6480,261.9480,4.999974
FILLER_62_107,VDD,Metal1,76.2755,261.8710,4.999977
FILLER_62_101,VDD,Metal1,64.7800,262.2075,4.999977
FILLER_62_37,VDD,Metal1,46.0750,261.8255,4.999977
FILLER_62_34,VDD,Metal1,26.0400,262.6400,4.999977
FILLER_62_2,VDD,Metal1,17.4755,261.8710,4.999977
FILLER_61_456,VDD,Metal1,262.6400,254.8000,4.999974
FILLER_61_449,VDD,Metal1,258.4400,254.8000,4.999974
FILLER_61_447,VDD,Metal1,257.6000,254.8000,4.999974
FILLER_61_436,VDD,Metal1,251.1600,254.8000,4.999974
FILLER_61_434,VDD,Metal1,250.3200,254.8000,4.999974
FILLER_61_430,VDD,Metal1,249.0200,255.2325,4.999974
FILLER_61_422,VDD,Metal1,245.7865,255.3765,4.999950
FILLER_61_416,VDD,Metal1,241.1800,255.2325,4.999949
FILLER_61_385,VDD,Metal1,222.8800,254.8000,4.999953
FILLER_61_381,VDD,Metal1,221.5800,255.2325,4.999954
FILLER_61_373,VDD,Metal1,218.3465,255.3765,4.999954
FILLER_61_357,VDD,Metal1,211.7280,255.4920,4.999951
FILLER_61_346,VDD,Metal1,201.9800,255.2325,4.999950
FILLER_61_306,VDD,Metal1,179.5800,255.2325,4.999954
