Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_64_456,VSS,Metal1,262.6400,266.5600,0.000035
FILLER_64_452,VSS,Metal1,260.5800,266.9085,0.000035
FILLER_64_444,VSS,Metal1,257.0930,267.0215,0.000035
FILLER_64_440,VSS,Metal1,253.6800,266.5600,0.000035
FILLER_64_424,VSS,Metal1,248.0320,267.1080,0.000035
FILLER_64_407,VSS,Metal1,234.9200,266.5600,0.000036
FILLER_64_405,VSS,Metal1,234.0800,266.5600,0.000036
FILLER_64_401,VSS,Metal1,232.0200,266.9085,0.000036
FILLER_64_385,VSS,Metal1,226.1920,267.1080,0.000036
FILLER_64_378,VSS,Metal1,218.6800,266.5600,0.000036
FILLER_64_376,VSS,Metal1,217.8400,266.5600,0.000036
FILLER_64_342,VSS,Metal1,206.5240,267.1575,0.000036
FILLER_64_339,VSS,Metal1,196.8400,266.5600,0.000036
FILLER_64_337,VSS,Metal1,196.0000,266.5600,0.000035
FILLER_64_327,VSS,Metal1,190.5800,266.9085,0.000036
FILLER_64_305,VSS,Metal1,177.8000,266.5600,0.000037
FILLER_64_303,VSS,Metal1,176.9600,266.5600,0.000037
FILLER_64_282,VSS,Metal1,164.9200,266.5600,0.000035
FILLER_64_274,VSS,Metal1,161.8930,267.0215,0.000036
FILLER_64_271,VSS,Metal1,158.7600,266.5600,0.000036
FILLER_64_264,VSS,Metal1,154.8400,266.5600,0.000036
FILLER_64_262,VSS,Metal1,154.0000,266.5600,0.000037
FILLER_64_254,VSS,Metal1,150.6930,267.0215,0.000039
FILLER_64_237,VSS,Metal1,139.7200,266.5600,0.000039
FILLER_64_235,VSS,Metal1,138.8800,266.5600,0.000039
FILLER_64_222,VSS,Metal1,131.3200,266.5600,0.000037
FILLER_64_220,VSS,Metal1,130.4800,266.5600,0.000037
FILLER_64_180,VSS,Metal1,108.2600,266.9085,0.000029
FILLER_64_172,VSS,Metal1,104.7730,267.0215,0.000029
FILLER_64_138,VSS,Metal1,92.2840,267.1575,0.000029
FILLER_64_104,VSS,Metal1,73.2440,267.1575,0.000022
FILLER_64_70,VSS,Metal1,54.2040,267.1575,0.000022
FILLER_64_36,VSS,Metal1,35.1640,267.1575,0.000019
FILLER_64_2,VSS,Metal1,16.1240,267.1575,0.000019
FILLER_63_457,VSS,Metal1,262.9200,266.5600,0.000035
FILLER_63_455,VSS,Metal1,262.0800,266.5600,0.000035
FILLER_63_451,VSS,Metal1,260.0200,266.2110,0.000035
FILLER_63_416,VSS,Metal1,240.4200,266.2110,0.000036
FILLER_63_352,VSS,Metal1,221.0445,265.9220,0.000036
FILLER_63_348,VSS,Metal1,202.1600,266.5600,0.000036
FILLER_63_306,VSS,Metal1,178.3600,266.5600,0.000037
FILLER_63_304,VSS,Metal1,177.5200,266.5600,0.000037
FILLER_63_284,VSS,Metal1,166.0400,266.5600,0.000037
FILLER_63_282,VSS,Metal1,165.2000,266.5600,0.000035
FILLER_63_279,VSS,Metal1,163.2400,266.5600,0.000036
FILLER_63_275,VSS,Metal1,161.4600,266.2110,0.000036
FILLER_63_267,VSS,Metal1,157.9730,266.0980,0.000036
FILLER_63_261,VSS,Metal1,153.1600,266.5600,0.000037
FILLER_63_203,VSS,Metal1,120.6800,266.5600,0.000034
FILLER_63_158,VSS,Metal1,95.7600,266.5600,0.000029
FILLER_63_142,VSS,Metal1,90.1120,266.0120,0.000029
FILLER_63_136,VSS,Metal1,83.6200,266.2110,0.000028
FILLER_63_72,VSS,Metal1,64.2445,265.9220,0.000022
FILLER_63_66,VSS,Metal1,44.4200,266.2110,0.000020
FILLER_63_2,VSS,Metal1,25.0445,265.9220,0.000019
FILLER_62_457,VSS,Metal1,262.9200,258.7200,0.000035
FILLER_62_451,VSS,Metal1,260.0200,259.0685,0.000035
FILLER_62_387,VSS,Metal1,240.6445,259.3575,0.000035
FILLER_62_384,VSS,Metal1,222.0400,258.7200,0.000039
FILLER_62_380,VSS,Metal1,220.2600,259.0685,0.000039
FILLER_62_373,VSS,Metal1,216.1600,258.7200,0.000040
FILLER_62_365,VSS,Metal1,212.8530,259.1815,0.000043
FILLER_62_333,VSS,Metal1,201.4840,259.3175,0.000043
FILLER_62_255,VSS,Metal1,150.0800,258.7200,0.000048
FILLER_62_247,VSS,Metal1,146.7730,259.1815,0.000048
FILLER_62_241,VSS,Metal1,142.4200,259.0685,0.000047
FILLER_62_228,VSS,Metal1,134.6800,258.7200,0.000047
FILLER_62_226,VSS,Metal1,133.8400,258.7200,0.000047
FILLER_62_177,VSS,Metal1,106.4000,258.7200,0.000040
FILLER_62_167,VSS,Metal1,100.8000,258.7200,0.000036
FILLER_62_139,VSS,Metal1,88.4320,259.2680,0.000027
FILLER_62_107,VSS,Metal1,74.9240,259.3175,0.000023
FILLER_62_101,VSS,Metal1,64.0200,259.0685,0.000023
FILLER_62_37,VSS,Metal1,44.6445,259.3575,0.000023
FILLER_62_34,VSS,Metal1,26.0400,258.7200,0.000022
FILLER_62_2,VSS,Metal1,16.1240,259.3175,0.000022
FILLER_61_456,VSS,Metal1,262.6400,258.7200,0.000035
FILLER_61_449,VSS,Metal1,258.4400,258.7200,0.000035
FILLER_61_447,VSS,Metal1,257.6000,258.7200,0.000035
FILLER_61_436,VSS,Metal1,251.1600,258.7200,0.000035
FILLER_61_434,VSS,Metal1,250.3200,258.7200,0.000035
FILLER_61_430,VSS,Metal1,248.2600,258.3710,0.000035
FILLER_61_422,VSS,Metal1,244.7730,258.2580,0.000035
FILLER_61_416,VSS,Metal1,240.4200,258.3710,0.000035
FILLER_61_385,VSS,Metal1,222.8800,258.7200,0.000036
FILLER_61_381,VSS,Metal1,220.8200,258.3710,0.000039
FILLER_61_373,VSS,Metal1,217.3330,258.2580,0.000040
FILLER_61_357,VSS,Metal1,210.5120,258.1720,0.000043
FILLER_61_346,VSS,Metal1,201.2200,258.3710,0.000043
FILLER_61_306,VSS,Metal1,178.8200,258.3710,0.000043
FILLER_61_300,VSS,Metal1,175.0000,258.7200,0.000048
FILLER_61_290,VSS,Metal1,169.4000,258.7200,0.000048
FILLER_61_288,VSS,Metal1,168.5600,258.7200,0.000048
FILLER_61_278,VSS,Metal1,162.9600,258.7200,0.000048
FILLER_61_274,VSS,Metal1,160.9000,258.3710,0.000048
FILLER_61_266,VSS,Metal1,157.4130,258.2580,0.000048
FILLER_61_259,VSS,Metal1,152.3200,258.7200,0.000048
FILLER_61_243,VSS,Metal1,146.6720,258.1720,0.000048
FILLER_61_233,VSS,Metal1,137.9400,258.3710,0.000047
FILLER_61_225,VSS,Metal1,134.4530,258.2580,0.000047
FILLER_61_218,VSS,Metal1,129.3600,258.7200,0.000054
FILLER_61_196,VSS,Metal1,116.7600,258.7200,0.000053
FILLER_61_177,VSS,Metal1,106.1200,258.7200,0.000040
FILLER_61_175,VSS,Metal1,105.2800,258.7200,0.000040
FILLER_61_144,VSS,Metal1,87.6400,258.7200,0.000027
FILLER_61_142,VSS,Metal1,86.8000,258.7200,0.000027
FILLER_61_136,VSS,Metal1,83.6200,258.3710,0.000024
FILLER_61_72,VSS,Metal1,64.2445,258.0820,0.000023
FILLER_61_69,VSS,Metal1,45.6400,258.7200,0.000023
FILLER_61_37,VSS,Metal1,35.7240,258.1220,0.000023
FILLER_61_30,VSS,Metal1,23.8000,258.7200,0.000022
FILLER_61_26,VSS,Metal1,22.0200,258.3710,0.000022
FILLER_61_18,VSS,Metal1,18.5330,258.2580,0.000022
FILLER_61_2,VSS,Metal1,11.7120,258.1720,0.000022
FILLER_60_457,VSS,Metal1,262.9200,250.8800,0.000043
FILLER_60_430,VSS,Metal1,248.0800,250.8800,0.000045
FILLER_60_406,VSS,Metal1,234.3600,250.8800,0.000040
FILLER_60_404,VSS,Metal1,233.5200,250.8800,0.000040
FILLER_60_395,VSS,Metal1,228.2000,250.8800,0.000039
FILLER_60_387,VSS,Metal1,225.1730,251.3415,0.000039
FILLER_60_377,VSS,Metal1,219.5730,251.3415,0.000039
FILLER_60_371,VSS,Metal1,214.7600,250.8800,0.000039
FILLER_60_369,VSS,Metal1,213.9200,250.8800,0.000039
FILLER_60_339,VSS,Metal1,196.8400,250.8800,0.000036
FILLER_60_337,VSS,Metal1,196.0000,250.8800,0.000034
FILLER_60_330,VSS,Metal1,192.0800,250.8800,0.000034
FILLER_60_314,VSS,Metal1,182.8400,250.8800,0.000034
FILLER_60_310,VSS,Metal1,181.0600,251.2285,0.000033
FILLER_60_294,VSS,Metal1,175.2320,251.4280,0.000033
FILLER_60_280,VSS,Metal1,164.0800,250.8800,0.000033
FILLER_60_276,VSS,Metal1,162.0200,251.2285,0.000035
FILLER_60_244,VSS,Metal1,143.6400,250.8800,0.000035
FILLER_60_242,VSS,Metal1,142.8000,250.8800,0.000035
FILLER_60_238,VSS,Metal1,140.7400,251.2285,0.000035
